brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Land Rover,Range Rover,2020,84595,White,,Used,"SUV, Crossover",4 x 4,Automatic,Diesel,36860,,SALGS2RK0LA595030,https://media.kijiji.ca/api/v1/autos-prod-ads/images/91/91e85788-7e4e-4a7d-aa1b-101d5307f345?rule=kijijica-640-jpg,
Chevrolet,Corvette,2021,109987,Blue,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,6528,,1G1YB2D48M5111077,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4f/4fece505-b6f8-46e7-9bf7-27b1a8495f11?rule=kijijica-640-jpg,
Porsche,911,2019,129790,Grey,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,13715,,WP0AA2A90KS104389,https://media.kijiji.ca/api/v1/autos-prod-ads/images/62/629edb7f-233a-4a74-b504-4bab77d20937?rule=kijijica-640-jpg,
Porsche,Cayenne,2021,119205,Orange,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60147,,WP1BG2AY3MDA49906,https://media.kijiji.ca/api/v1/autos-prod-ads/images/54/54a87849-bc9f-44e4-825b-530963e4c764?rule=kijijica-640-jpg,
Volkswagen,Tiguan,2019,27989,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,58012,,3VV2B7AX6KM082065,https://media.kijiji.ca/api/v1/autos-prod-ads/images/00/002e7ee6-3ff9-4049-9a44-ecb004c7f012?rule=kijijica-640-jpg,
Lexus,RX,2017,39990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,98415,,2T2BZMCA2HC089240,https://media.kijiji.ca/api/v1/autos-prod-ads/images/25/2500293e-c78a-44fb-81a3-43b4b39a4c49?rule=kijijica-640-jpg,
GMC,Sierra 1500,2010,8000,,,Used,,,,,220000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/62/62bf94f1-c310-40af-a0e6-088149a0ef5e?rule=kijijica-640-jpg,
Ford,Escape,2010,2700,,,Used,,,,,240000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/77/77e1509a-70bf-48a2-b3e0-a0c417f8485a?rule=kijijica-640-jpg,
Chevrolet,Cruze,2013,2500,Manual,,Used,,,,,150000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/18/18d71033-2ce3-4873-bce9-ccb17e22d087?rule=kijijica-640-jpg,
Toyota,Yaris,2008,1500,Hatchback,,Used,Front-wheel drive (FWD),Automatic,Gasoline,JTDKT923185817680,172506,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ec/ec5c74f7-ec7b-4ff5-a5bf-878ac5845e70?rule=kijijica-640-jpg,
Honda,Fit,2008,2000,Hatchback,,Used,Automatic,,,,196000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/3a/3aca7064-acf9-454e-9bdb-eae2e6bda762?rule=kijijica-640-jpg,
Dodge,Power Ram 1500,2007,1000,,,Used,,,,,200000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/49/49d887f5-a0ae-4146-adc3-0a8bae109c26?rule=kijijica-640-jpg,
Porsche,Cayenne,2011,18000,,,Used,,,,,199000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5b/5b0b19e0-2bc1-401e-b8d4-009ff02f1d55?rule=kijijica-640-jpg,
Dodge,Power Ram 1500,2013,20000,,,Used,,,,,278506,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/29/29807ed4-3a03-42a5-87f5-6299117ca77b?rule=kijijica-640-jpg,
GMC,Sierra 1500,2019,56990,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,84000,,1GTU9FEL5KZ407307,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/37/37cb9c4c-c078-4b39-a03e-a454b055f7eb?rule=kijijica-640-jpg,
Hyundai,Santa Fe,2016,25749,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84442,,KM8SNDHF0GU135083,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0c/0c4d2239-3fb8-47ee-a76b-fdbe36891a7d?rule=kijijica-640-jpg,
Honda,Ridgeline,2019,35900,White,,Used,Pickup Truck,All-wheel drive (AWD),Automatic,Gasoline,115815,,5FPYK3F56KB506249,https://media.kijiji.ca/api/v1/autos-prod-ads/images/57/57e97906-8bf1-4873-8a63-5d47ede61604?rule=kijijica-640-jpg,
Kia,Optima,2019,17999,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,159423,,5XXGT4L38KG275913,https://media.kijiji.ca/api/v1/autos-prod-ads/images/f2/f2a7357a-9662-4ba1-ad3d-916050518926?rule=kijijica-640-jpg,
Ram,1500,2013,17899,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,136292,,1C6RR7GT2DS558830,https://media.kijiji.ca/api/v1/autos-prod-ads/images/77/771009ef-2489-487f-8d96-feb3644c8480?rule=kijijica-640-jpg,
alfaromeo,Sport,2018,29990,"SUV, Crossover",,Used,All-wheel drive (AWD),Automatic,Gasoline,ZASFAKPN4J7C20102,83629,,PA0102,https://media.kijiji.ca/api/v1/autos-prod-ads/images/91/915012cd-a600-4980-9d61-a44a58699214?rule=kijijica-640-jpg,
Nissan,Altima,2011,3300,Grey,,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,235000,,1N4AL2AP7BC132389,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ad/ad3dbfba-6fa1-4764-a3f4-0618db101407?rule=kijijica-640-jpg,
Land Rover,Discovery,2019,45990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76517,,SALRT2RV9K2412992,https://media.kijiji.ca/api/v1/autos-prod-ads/images/1b/1b6e6d84-858d-445e-aeb9-19da0889d809?rule=kijijica-640-jpg,
Toyota,Camry,2005,8150,Sedan,,Used,Automatic,Gasoline,,,163000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/48/48106361-68ee-42d2-ad1b-48b41c828af5?rule=kijijica-640-jpg,
Porsche,Cayenne,2008,29000,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,98000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/30/30274317-69fe-443f-b88f-db9528158ca6?rule=kijijica-640-jpg,
Ram,1500,2021,107829,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,14819,,1C6SRFU97MN713326,https://media.kijiji.ca/api/v1/autos-prod-ads/images/3b/3bc78971-5e8d-4f4d-b7f8-40e4d9f61a41?rule=kijijica-640-jpg,
Lexus,RX,2017,39990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,98415,,2T2BZMCA2HC089240,https://media.kijiji.ca/api/v1/autos-prod-ads/images/25/2500293e-c78a-44fb-81a3-43b4b39a4c49?rule=kijijica-640-jpg,
Chevrolet,Silverado 1500,2021,53990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,56875,,3GCPYFEDXMG250305,https://media.kijiji.ca/api/v1/autos-prod-ads/images/a7/a77c3a16-bcfb-493a-900d-bfc5867ae963?rule=kijijica-640-jpg,
BMW,M4,2018,62999,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,64893,,WBS4Z9C55JED22992,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b0/b0fef103-4215-42e8-9fc4-5d2704d6ee41?rule=kijijica-640-jpg,
GMC,Sierra 1500,2010,8000,,,Used,,,,,220000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/62/62bf94f1-c310-40af-a0e6-088149a0ef5e?rule=kijijica-640-jpg,
Ford,Escape,2010,2700,,,Used,,,,,240000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/77/77e1509a-70bf-48a2-b3e0-a0c417f8485a?rule=kijijica-640-jpg,
Chevrolet,Cruze,2013,2500,Manual,,Used,,,,,150000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/18/18d71033-2ce3-4873-bce9-ccb17e22d087?rule=kijijica-640-jpg,
Toyota,Yaris,2008,1500,Hatchback,,Used,Front-wheel drive (FWD),Automatic,Gasoline,JTDKT923185817680,172506,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ec/ec5c74f7-ec7b-4ff5-a5bf-878ac5845e70?rule=kijijica-640-jpg,
Honda,Fit,2008,2000,Hatchback,,Used,Automatic,,,,196000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/3a/3aca7064-acf9-454e-9bdb-eae2e6bda762?rule=kijijica-640-jpg,
Dodge,Power Ram 1500,2007,1000,,,Used,,,,,200000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/49/49d887f5-a0ae-4146-adc3-0a8bae109c26?rule=kijijica-640-jpg,
Porsche,Cayenne,2011,18000,,,Used,,,,,199000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5b/5b0b19e0-2bc1-401e-b8d4-009ff02f1d55?rule=kijijica-640-jpg,
Dodge,Power Ram 1500,2013,20000,,,Used,,,,,278506,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/29/29807ed4-3a03-42a5-87f5-6299117ca77b?rule=kijijica-640-jpg,
GMC,Sierra 1500,2019,56990,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,84000,,1GTU9FEL5KZ407307,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/37/37cb9c4c-c078-4b39-a03e-a454b055f7eb?rule=kijijica-640-jpg,
Hyundai,Santa Fe,2016,25749,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84442,,KM8SNDHF0GU135083,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0c/0c4d2239-3fb8-47ee-a76b-fdbe36891a7d?rule=kijijica-640-jpg,
Honda,Ridgeline,2019,35900,White,,Used,Pickup Truck,All-wheel drive (AWD),Automatic,Gasoline,115815,,5FPYK3F56KB506249,https://media.kijiji.ca/api/v1/autos-prod-ads/images/57/57e97906-8bf1-4873-8a63-5d47ede61604?rule=kijijica-640-jpg,
Kia,Optima,2019,17999,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,159423,,5XXGT4L38KG275913,https://media.kijiji.ca/api/v1/autos-prod-ads/images/f2/f2a7357a-9662-4ba1-ad3d-916050518926?rule=kijijica-640-jpg,
Ram,1500,2013,17899,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,136292,,1C6RR7GT2DS558830,https://media.kijiji.ca/api/v1/autos-prod-ads/images/77/771009ef-2489-487f-8d96-feb3644c8480?rule=kijijica-640-jpg,
alfaromeo,Sport,2018,29990,"SUV, Crossover",,Used,All-wheel drive (AWD),Automatic,Gasoline,ZASFAKPN4J7C20102,83629,,PA0102,https://media.kijiji.ca/api/v1/autos-prod-ads/images/91/915012cd-a600-4980-9d61-a44a58699214?rule=kijijica-640-jpg,
Nissan,Altima,2011,3300,Grey,,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,235000,,1N4AL2AP7BC132389,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ad/ad3dbfba-6fa1-4764-a3f4-0618db101407?rule=kijijica-640-jpg,
Land Rover,Discovery,2019,45990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76517,,SALRT2RV9K2412992,https://media.kijiji.ca/api/v1/autos-prod-ads/images/1b/1b6e6d84-858d-445e-aeb9-19da0889d809?rule=kijijica-640-jpg,
Toyota,Camry,2005,8150,Sedan,,Used,Automatic,Gasoline,,,163000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/48/48106361-68ee-42d2-ad1b-48b41c828af5?rule=kijijica-640-jpg,
Porsche,Cayenne,2008,29000,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,98000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/30/30274317-69fe-443f-b88f-db9528158ca6?rule=kijijica-640-jpg,
Ford,Edge,2016,18990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,128706,,2FMPK4G94GBC38460,https://media.kijiji.ca/api/v1/autos-prod-ads/images/19/19d5be3c-1aff-4201-8dd7-191459386e02?rule=kijijica-640-jpg,
Audi,A6,2014,23990,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,131000,,WAUHMCFC1EN012871,https://media.kijiji.ca/api/v1/autos-prod-ads/images/29/29cc5702-71d1-4b06-bc8a-9da68e3fa3cb?rule=kijijica-640-jpg,
