brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Toyota,Highlander,2015,23995,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,154896,,5TDD5RFH9FS218280,,
BMW,M4,2018,69970,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,64893,,WBS4Z9C55JED22992,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b0/b0fef103-4215-42e8-9fc4-5d2704d6ee41?rule=kijijica-640-jpg,
Toyota,Camry,2021,33990,Grey,,Used,Sedan,Other,Automatic,Gasoline,62630,,4T1G11AK8MU446845,https://media.kijiji.ca/api/v1/autos-prod-ads/images/f4/f471694d-2ecc-4be2-b805-41b505b8081a?rule=kijijica-640-jpg,
BMW,3-Series,2013,15000,Blue,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,179000,,WBA3B3C57DJ977097,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/7a/7aa05c73-1acf-49fe-a438-63e4de4ec788?rule=kijijica-640-jpg,
Porsche,911,2016,248769,Purple,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,32275,,WP0AF2A93GS192959,https://media.kijiji.ca/api/v1/autos-prod-ads/images/70/700022b2-b7e8-402f-a124-a8f098f7a75b?rule=kijijica-640-jpg,
Honda,Fit,2008,3500,Blue,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,208127,,JHMGD37498S802686,,
Ford,Ranger,2007,2900,Black,,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,237000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7b/7b77877c-b53d-405f-bfc2-0fd8daaaf3ee?rule=kijijica-640-jpg,
Chevrolet,Corvette,2011,54000,Convertible,,Used,,,,,28000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/c2/c2aa89c9-66e6-4435-a996-cc4b682356f0?rule=kijijica-640-jpg,
Toyota,Highlander,2020,44599,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60328,,5TDGZRBH9LS522428,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b6/b6420884-79f3-4f74-9b42-591aee21a840?rule=kijijica-640-jpg,
Toyota,Corolla,2017,24995,Other,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,40425,,2T1BURHE9HC812318,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d8/d877652a-707b-41c7-b53d-bf9f779e5fd5?rule=kijijica-640-jpg,
