,brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
0,Honda,CR-V,2021,34991,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,76617,,2HKRW2H49MH219055,,
1,Land Rover,Discovery,2020,53990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,60228,,SALRU2RV3L2423324,,
2,Land Rover,Range Rover Evoque,2021,49900,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,62122,,SALZJ2FX9MH129259,,
3,Honda,Fit,2008,3500,Blue,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,208127,,JHMGD37498S802686,,
4,Ford,Ranger,2007,2900,Black,,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,237000,,,,
5,Chevrolet,Corvette,2011,54000,Convertible,,Used,,,,,28000,,,,
6,Toyota,Highlander,2020,44599,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60328,,5TDGZRBH9LS522428,,
7,Toyota,Corolla,2017,24995,Other,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,40425,,2T1BURHE9HC812318,,
8,Hyundai,Genesis,2016,20990,Black,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,138150,,KMHGN4JE4GU115863,,
9,Mazda,3,2021,27995,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,73788,,JM1BPADL6M1324486,,
10,GMC,Acadia,2011,6500,,,Used,,,,,314000,,,,
11,Land Rover,Range Rover Sport,2017,47490,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,95127,,SALWR2FE8HA134610,,
12,Land Rover,Discovery,2019,46990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76517,,SALRT2RV9K2412992,,
13,Chevrolet,Silverado 1500,2017,31000,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,105600,,,,
14,Chrysler,200-Series,2015,8990,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,216000,,,,
15,Hyundai,Sonata,2011,8000,Grey,,Used,Sedan,Automatic,Gasoline,,160,,,,
16,Dodge,Challenger,2016,42000,Coupe (2 door),,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,78000,,,,
17,Ford,F-150,2018,36952,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,113177,,1FTEW1E58JFA45863,,
18,Hyundai,Tucson,2017,21500,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,92000,,,,
19,Honda,Accord,2006,5500,Silver,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,198426,,,,
20,Volkswagen,Golf,2008,4000,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,,214000,,,,
21,GMC,Sierra 2500,2010,50000,Pickup Truck,,Used,Automatic,Diesel,,,37000,,,,
